donor,region,roi,n_cells,unknown_frac,other_immune_frac,unresolved_frac
HPAP-093,Tail of pancreas,ROI1,2954,0.2931618144888287,0.21530128639133378,0.5084631008801626
HPAP-105,Head of pancreas,ROI1,3050,0.20721311475409837,0.30131147540983605,0.5085245901639344
HPAP-046,Tail of pancreas,ROI1,4157,0.20976665864806351,0.29901371181140246,0.508780370459466
HPAP-036,Body of pancreas,ROI1,3808,0.28387605042016806,0.22505252100840337,0.5089285714285714
HPAP-146,Head of pancreas,ROI3,4585,0.22137404580152673,0.2883315158124318,0.5097055616139585
HPAP-054,Head of pancreas,ROI3,2037,0.16593028964162984,0.34413352970054,0.5100638193421698
HPAP-053,Tail of pancreas,ROI2,3526,0.05331820760068066,0.4585933068633012,0.5119115144639819
HPAP-053,Body of pancreas,ROI2,3480,0.10488505747126436,0.4100574712643678,0.5149425287356322
HPAP-046,Body of pancreas,ROI1,1775,0.3684507042253521,0.1476056338028169,0.516056338028169
HPAP-036,Body of pancreas,ROI3,4302,0.200371920037192,0.3193863319386332,0.5197582519758253
HPAP-074,Body of pancreas,ROI2,2635,0.08159392789373814,0.44060721062618596,0.5222011385199241
HPAP-052,Body of pancreas,ROI1,2627,0.17891130567186905,0.3448800913589646,0.5237913970308337
HPAP-046,Body of pancreas,ROI3,2826,0.26857749469214437,0.2653927813163482,0.5339702760084926
HPAP-074,Head of pancreas,ROI4,2034,0.0,0.5344149459193707,0.5344149459193707
HPAP-063,Head of pancreas,ROI3,3354,0.21645796064400716,0.3184257602862254,0.5348837209302325
HPAP-036,Tail of pancreas,ROI3,3700,0.2110810810810811,0.32594594594594595,0.537027027027027
HPAP-118,Head of pancreas,ROI2,1807,0.2584394023242944,0.2789153292750415,0.5373547315993359
HPAP-037,Head of pancreas,ROI3,2372,0.28077571669477236,0.27107925801011806,0.5518549747048904
HPAP-039,Tail of pancreas,ROI1,3008,0.25631648936170215,0.29720744680851063,0.5535239361702128
HPAP-099,Tail of pancreas,ROI1,3467,0.1828670320161523,0.3717911739255841,0.5546582059417364
HPAP-146,Head of pancreas,ROI5,5432,0.13125920471281297,0.4254418262150221,0.5567010309278351
HPAP-004,Head of pancreas,ROI2,3369,0.14663104778866132,0.41317898486197685,0.5598100326506381
