name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
PARAM_IL6_DIFFUSIVITY,1.33e-7,,lognormal,-15.832917,0.7,,
PARAM_CXCL13_DIFFUSIVITY,1.47e-7,,lognormal,-15.732833,0.7,,
PARAM_CXCL13_DECAY_RATE,1e-4,,lognormal,-9.210340,0.7,,
PARAM_ANTIBODY_DIFFUSIVITY,1.02e-7,,lognormal,-16.098293,0.7,,
PARAM_ANTIBODY_DECAY_RATE,5e-5,,lognormal,-9.903488,0.7,,
PARAM_CCL21_DIFFUSIVITY,1.35e-7,,lognormal,-15.817991,0.7,,
PARAM_CCL21_DECAY_RATE,1e-5,,lognormal,-11.512925,0.7,,
PARAM_FIB_FRC_CCL21_RELEASE,5e-9,,lognormal,-19.113828,1.5,,
PARAM_FIB_FRC_CXCL12_RELEASE,4.5e-11,,lognormal,-23.825,1.5,,
PARAM_CXCL12_DIFFUSIVITY,2.03e-7,,lognormal,-15.410060,0.7,,
PARAM_CCL5_DIFFUSIVITY,2.06e-7,,lognormal,-15.395390,0.7,,
PARAM_TEFF_RECRUIT_P,0.03,,lognormal,-3.506558,1.0,,
PARAM_TREG_RECRUIT_P,0.03,,lognormal,-3.506558,1.0,,
PARAM_TH_RECRUIT_P,0.03,,lognormal,-3.506558,1.0,,
